title,category,tempo_bpm,f0_mean_hz,cardiac_chd_ptsd,cardiac_lqts,cardiac_hcm,cardiac_heart_failure,cardiac_af_arrhythmia,cardiac_post_cardiac_surgery,safe_chd_ptsd,safe_lqts,safe_hcm,safe_heart_failure,safe_af_arrhythmia,safe_post_cardiac_surgery
Aditya Hridayam,Stotram,152.0,141.12,1.294,0.813,0.669,0.402,0.34,0.6,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Vishnu Sahasranamam,Stotram,136.0,321.14,1.514,0.747,0.855,1.179,0.358,1.376,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Shiva Tandava Stotram,Stotram,117.5,104.42,4.144,3.904,3.577,3.06,3.283,3.257,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Hanuman Chalisa,Bhajan,152.0,205.28,1.005,0.421,0.367,0.831,0.0,0.899,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Mahalakshmi Ashtakam,Stotram,143.6,145.46,2.12,1.751,1.527,1.19,1.195,1.388,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Durga Saptashloki,Stotram,89.1,210.87,5.232,5.0,4.99,4.931,4.896,5.299,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
Lingashtakam,Stotram,103.4,228.58,4.67,4.303,4.1,3.94,3.69,4.138,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Rudrashtakam,Stotram,129.2,184.39,2.932,2.525,2.339,2.112,1.97,2.31,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Kanakadhara Stotram,Stotram,99.4,136.15,5.149,4.903,4.615,4.159,4.291,4.393,SAFE,AVOID,AVOID,SAFE,AVOID,AVOID
Shiv Panchakshara Stotram,Stotram,117.5,84.74,4.357,4.198,3.808,3.604,3.533,3.698,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Om Jai Jagdish Hare,Bhajan,107.7,194.75,4.306,3.899,3.716,3.511,3.337,3.709,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Achyutam Keshavam,Bhajan,129.2,141.48,3.217,2.915,2.643,3.749,2.314,3.572,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Raghupati Raghava Raja Ram,Bhajan,161.5,206.33,0.41,0.0,0.0,1.216,0.0,1.038,AVOID,AVOID,AVOID,AVOID,AVOID,AVOID
Jai Ganesh Jai Ganesh Deva,Bhajan,89.1,382.13,3.953,2.828,2.622,3.747,3.368,4.244,SAFE,CAUTION,CAUTION,SAFE,SAFE,SAFE
