title,duration_sec,f0_mean_hz,f0_median_hz,f0_std_hz,spectral_centroid_hz,spectral_rolloff_hz,tempo_bpm,zcr_mean,rms_mean,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,source,mfcc_means,neuroacoustic_score,is_synthetic,category
Aditya Hridayam,120.0,141.12,147.26,19.91,1946.55,3705.94,152.0,0.092511,0.220522,-121.2014,108.4781,-8.2148,10.7599,-18.9346,-0.9021,-13.3979,-4.6189,-11.2175,-6.6961,-7.6296,5.147,-3.7312,json_cache,,39.5,False,Stotram
Vishnu Sahasranamam,120.0,321.14,338.31,57.71,2060.78,3497.28,136.0,0.139252,0.141407,-198.8414,72.7379,-76.2933,21.966,-21.805,-10.5476,-13.565,-10.3763,-7.8585,7.0505,-4.6722,-5.7665,-3.968,json_cache,,33.8,False,Stotram
Shiva Tandava Stotram,120.0,104.42,107.8,24.77,1600.14,3153.53,117.5,0.062114,0.021617,-354.0431,119.7269,3.4516,31.439,10.2324,4.4042,-10.7387,2.2569,-11.3584,1.6656,-4.9294,0.4307,-6.0738,json_cache,,29.2,False,Stotram
Hanuman Chalisa,120.0,205.28,198.85,59.22,2084.39,4019.31,152.0,0.104644,0.139036,-124.388,92.6788,-35.4538,21.7037,-17.492,-6.7529,-23.4488,-2.1009,-25.4739,-7.9253,-6.3053,-9.4343,-7.935,json_cache,,34.4,False,Bhajan
Mahalakshmi Ashtakam,120.0,145.46,153.33,28.19,1491.15,3079.31,143.6,0.066345,0.140055,-172.3672,138.8165,-32.0627,35.0731,-14.3281,-17.7096,-1.2314,-29.2737,-9.6855,-12.2182,-14.1978,8.4833,-11.0596,json_cache,,42.3,False,Stotram
Durga Saptashloki,120.0,210.87,276.38,122.72,1345.6,2621.87,89.1,0.061375,0.073384,-254.7262,139.7015,-11.4607,29.9848,3.8672,6.5846,5.6454,1.8193,8.6895,0.8486,2.2861,10.1817,-8.7536,json_cache,,54.3,False,Stotram
Lingashtakam,120.0,228.58,190.97,113.4,1778.89,3548.9,103.4,0.077127,0.229193,-99.5624,119.1643,-6.102,25.0504,0.117,-3.6272,-11.3948,-1.7232,-31.342,1.2111,-3.7041,-3.0896,-3.1039,json_cache,,40.5,False,Stotram
Rudrashtakam,120.0,184.39,74.05,159.42,1644.2,3413.5,129.2,0.078617,0.153787,-153.8805,122.211,-7.4204,38.9747,-3.9679,16.3317,0.5427,8.7456,-9.3778,14.3801,-5.4387,6.8759,-2.6057,json_cache,,36.4,False,Stotram
Kanakadhara Stotram,120.0,136.15,132.72,20.83,1515.8,2836.23,99.4,0.080679,0.035384,-308.8124,129.3133,-43.0156,20.5737,-11.8021,4.2426,-18.885,-7.9029,-18.1393,-9.6952,2.0782,-5.5505,-5.6636,json_cache,,37.3,False,Stotram
Shiv Panchakshara Stotram,120.0,84.74,65.98,48.01,1151.83,2073.22,117.5,0.044523,0.149559,-183.0385,150.8801,23.1861,16.9268,7.5134,11.3522,1.0678,-0.4414,2.5347,-1.0927,0.2239,-0.6223,-7.6202,json_cache,,53.8,False,Stotram
