title,recitation_style,tala,raga,is_monotone,repetition_count,repetition_type,single_duration_min,cumulative_exposure_min,log_repetition,japa_class,is_melodic,is_rhythmic_chant,is_call_response,freq_cluster_432hz,freq_cluster_528hz,meditative_onset,rhythm_entrainment,alpha_wave_induction,beta_wave_induction,harmonic_resonance,low_frequency_grounding
Aditya Hridayam,monotone_recitation,free_metre,,1,1,occasion_based,20.0,20,0.6931,single,0,0,0,1,0,1,0,0,0,0,0
Vishnu Sahasranamam,melodic,Adi,Madhyamavati,0,1,occasion_based,25.0,25,0.6931,single,1,0,0,0,0,0,1,0,0,1,0
Shiva Tandava Stotram,rhythmic_chant,Rupak,,0,1,occasion_based,5.0,5,0.6931,single,0,1,0,0,0,0,0,0,1,0,0
Hanuman Chalisa,rhythmic_chant,Chaupai,,0,7,fixed_count,7.0,49,2.0794,medium_rep,0,1,0,0,0,1,1,0,0,0,0
Mahalakshmi Ashtakam,monotone_recitation,free_metre,,1,1,occasion_based,5.0,5,0.6931,single,0,0,0,0,1,1,0,0,0,0,0
Durga Saptashloki,monotone_recitation,free_metre,,1,7,fixed_count,10.0,70,2.0794,medium_rep,0,0,0,0,0,1,0,0,0,0,1
Lingashtakam,monotone_recitation,free_metre,,1,1,occasion_based,3.0,3,0.6931,single,0,0,0,1,0,1,0,0,0,0,0
Rudrashtakam,melodic,Adi,Bhairavi,0,1,occasion_based,5.0,5,0.6931,single,1,0,0,0,0,1,0,0,0,1,0
Kanakadhara Stotram,melodic,free_metre,Kambhoji,0,1,occasion_based,8.0,8,0.6931,single,1,0,0,0,1,0,0,0,0,1,0
Shiv Panchakshara Stotram,monotone_recitation,free_metre,,1,5,fixed_count,3.0,15,1.7918,single,0,0,0,0,0,1,0,0,0,0,1
Om Jai Jagdish Hare,rhythmic_chant,Keherwa,Bhairavi,0,1,occasion_based,5.0,5,0.6931,single,0,1,0,0,0,1,1,0,0,0,0
Achyutam Keshavam,melodic,Adi,Yaman,0,108,fixed_count,3.0,324,4.6913,high_rep,1,0,0,0,0,1,0,0,0,1,0
Raghupati Raghava Raja Ram,rhythmic_chant,Keherwa,,0,108,fixed_count,2.0,216,4.6913,high_rep,0,1,0,0,0,1,1,0,0,0,0
Jai Ganesh Jai Ganesh Deva,rhythmic_chant,Keherwa,,0,1,occasion_based,4.0,4,0.6931,single,0,1,0,0,0,0,1,0,1,0,0
Vaishnav Jan To,melodic,Adi,Bhairavi,0,1,occasion_based,5.0,5,0.6931,single,1,0,0,0,0,1,0,1,0,1,0
Jai Ambe Gauri,rhythmic_chant,Keherwa,Kafi,0,1,occasion_based,6.0,6,0.6931,single,0,1,0,0,0,0,1,0,1,0,0
Mere Ghat Ko Banao,melodic,Adi,Bhairavi,0,1,occasion_based,4.0,4,0.6931,single,1,0,0,0,0,1,0,1,0,1,0
Gayatri Mantra,monotone_recitation,Gayatri_chandas,,1,108,fixed_count,20.0,2160,4.6913,high_rep,0,0,0,1,0,1,0,1,0,0,0
Mahamrityunjaya Mantra,monotone_recitation,Anushtubh_chandas,,1,108,fixed_count,15.0,1620,4.6913,high_rep,0,0,0,0,0,1,0,1,0,0,1
Purusha Suktam,call_response,free_metre,,0,1,occasion_based,10.0,10,0.6931,single,0,0,1,0,0,0,1,0,0,1,0
Sri Suktam,monotone_recitation,free_metre,,1,16,fixed_count,12.0,192,2.8332,medium_rep,0,0,0,0,1,1,0,0,0,0,0
